text,domain
"Guy: ...So, can I get your number?",overheard
Girl #1: I hate Valentine's Day. It's so stupid.,overheard
Girl #2: I'll buy you flowers.,overheard
Girl #1: I just wanna have sex.,overheard
"Girl #2: That's what I meant, I'll go down on you.",overheard
"Chick #1: So anyway, Happy Valentine's Day!",overheard
"Chick #2: Yay, right, I know.",overheard
Chick #1: Well eat a lot of pussy for me!,overheard
,overheard
"Guy: Dad, you had to see this broad; she must have been 200 to 250.",overheard
"Dad: Like you're some prize. You are 40, divorced, have 3 kids and live at home with your parents.",overheard
,overheard
Yuppie chick #1: Sarah D. Roosevelt Park! Remember when we bought crack there?,overheard
Yuppie chick #2: We didn't even buy crack. We just smoked it.,overheard
,overheard
Hobo: Can you help me get something to eat?,overheard
"Guy: Yeah, I got a slingshot in my bag. You prefer pigeon, rat, or squirrel?",overheard
,overheard
"Girl: Excuse me, which of these trains goes to Manhattan?",overheard
Suit: Shut up.,overheard
Southern woman: Oh! Are you a performer?,overheard
"Chick: Yes, I'm studying acting and musical theater.",overheard
Southern woman: Wow! That's so amazing! Maybe we'll see you on Broadway one of these days! Good luck!,overheard
Chick: Thanks!,overheard
She leaves the train.,overheard
"Southern woman: Yeah, right. Ha, ha, ha!",overheard
Old man: Is that a theater?,overheard
"Old woman: No, it's a McDonalds.",overheard
,overheard
"Hobo: Hey, man. I got your back.",overheard
Guy: Got my back on what?,overheard
Hobo: I saw you park your car.,overheard
"Guy: What are you, a fucking valet?",overheard
"Hobo: Listen, man. You got some change? I just wanna buy me a beer. I ain't gonna lie to you...Today's my birfday!",overheard
,overheard
Dude: Does that come with a meal?,overheard
Pasta guy: It is a meal.,overheard
,overheard
Old man: You think Hillary Clinton could be president? You're out,overheard
"of your mind. Hillary Clinton couldn't get arrested in a whorehouse with a fist full of fifties. She's ugly, she's stupid and she has a big fat ass. She's like a Hitler in female. All right, I'll stop now and be a gentleman.",overheard
Guy: Okay.,overheard
Old man: Any Democrat on this train who thinks Hillary Clinton could be president is masturbating in their mind. All one hundred of them.,overheard
Guy: You have a nice night.,overheard
,overheard
Woman #1: This train goes really fast!,overheard
"Woman #2: They don't run it as often, I think because they're afraid people might jump in front of it.",overheard
"Woman #1: Oh my god! Who could be that depressed? Take some pills, for Christ's sake.",overheard
"Woman #2: I'm surprised it's such a problem here, I mean, duh, you got all these tall buildings.",overheard
"Woman #1: Well, any building--",overheard
"Woman #2: No, you gotta go up at least 17 stories to be sure, otherwise you just end up in a wheelchair which is, duh, super-depressing.",overheard
Woman #1: 17 stories!,overheard
"Woman #2: Maybe 15 for you, you weigh more than me.",overheard
,overheard
"Guy: Here you go, brother.",overheard
"Hobo: Thanks. Hey, are you the guy who asked me for a remix?",overheard
,overheard
Guy: Haven't seen you in a while.,overheard
"Barber: Yeah, I was having a problem with my tonsils. I was sick",overheard
for about 3 weeks.,overheard
Guy: You gonna have them out?,overheard
"Barber: Probably. I should, but I'm chicken. But I probably gotta.",overheard
"Guy: I got this friend who went to the doctor, right? And the doctor said he hadda go get a colonoscopy. You shoulda seen his face! He didn't go.",overheard
"Barber: You gotta do it, though, before things get worse.",overheard
"Guy: Yeah, I think his colon did get worse.",overheard
,overheard
"Girl: Hey, where's my bag? Why hasn't my bag come through the machine? My other one did; did you have to rescan it or something?",overheard
"TSA guy: Oh, don't worry. that's because we're keeping it in a 350 degree oven to get it warm and fluffy and then we're going to toast it to a nice golden brown.",overheard
Girl: What?,overheard
,overheard
"Girl #1: I mean, she wears an external catheter at her desk!",overheard
"Girl #2: We should start wearing external catheters, too, since she doesn't give us bathroom breaks.",overheard
Girl #1: And tell her when we're going to the bathroom.,overheard
,overheard
"Teen girl #1: I like him cause he's tough, but he ain't thug.",overheard
"Teen girl #2: Oh, he's thug. He got that tattoo, he wears his pants all baggy and he got that great big coat.",overheard
"Teen girl #1: Yeah, he got that tattoo, but them other things...he just short.",overheard
,overheard
Ghetto chick: What the fuck is with all the cops at this station?,overheard
Punk chick: I don't know.,overheard
"Ghetto chick: I mean I'm fuckin' one and all but damn, I still don't like them.",overheard
,overheard
"Guy #1: What, you got a problem with me cursing?",overheard
"Guy #2: Nah, nah, it's just that, you know, sayin' ""holy fuck"" is like talkin 'bout Jesus's mom fuckin' his dad and it's not cool to talk about Jesus's mom fuckin' people.",overheard
"Guy #1: Dumbass, Jesus's mom didn't fuck anyone. She was a fuckin' virgin. How do I know this and you don't? You're the Christian.",overheard
"Guy #2: What are you talkin' 'bout? How could Jesus have been born if his mom hadn't screwed his dad? Wait, who was Jesus's dad again?",overheard
"Guy #1: Dude, are you serious?",overheard
,overheard
Chick #1: NYU is taking over the city. Soon they're gonna have to,overheard
"start calling it ""New York"" City.",overheard
Chick #2: It's already called New York City!,overheard
,overheard
Teen boy #1: I want to get a soda but my dollar bill is ripped.,overheard
"Teen boy #2: Nah chief, it's okay; you didn't rip the bar code.",overheard
,overheard
The train has been sitting with its doors open.,overheard
Conductor: PA system test.,overheard
A dude leans out the door and yells to the conductor.,overheard
"Dude: It's working, now can we get a fucking move on?",overheard
"Conductor: Everyone, it's going to be a few more minutes while that guy thinks about what he's said.",overheard
,overheard
"Little girl: Mommy, what's this?",overheard
"Mom: Japanese art. You know, like in .",overheard
,overheard
Black chick: What'd bring me to? Once you seen Queen Latifah you don't need to see this shit.,overheard
Black guy: I'm tryin' to fill you with some culture.,overheard
Black chick: Why don't you fill my closet with Prada?,overheard
,overheard
"McGirl: Welcome to McDonalds, may I take your order?",overheard
"Man: No thanks, I'm not hungry.",overheard
,overheard
Teen guy: Everyone's out to get me; that guy just gave me the dirtiest look.,overheard
"Teen girl: You retard, that guy was blind.",overheard
,overheard
"Woman: Excuse me, can you recommend anything from the menu?",overheard
Waiter guy: No.,overheard
,overheard
"Girl: It's not that it's small, it's just...not that big.",overheard
Guy: I wish we could stop talking about this now.,overheard
Girl: ...Maybe you could just stop shaving.,overheard
,overheard
"Teen girl #1: So, my boyfriend told me that if I didn't have sex with him, he'd break up with me. So I did, but then he broke up with me anyway. I don't understand!",overheard
"Teen girl #2: Well, maybe you were really bad at it.",overheard
,overheard
Waitress: Would you care for anything to drink?,overheard
British woman: What would you like to drink?,overheard
Latina mother-in-law: Whatever you're having.,overheard
"British woman: I'm having a glass of poison, would you like a glass of poison?",overheard
Latina mother-in-law: Mm-hmm.,overheard
British woman: Are you you want a glass of poison?,overheard
She nods.,overheard
British woman: We'll have two gin and tonics.,overheard
,overheard
Drunk guy: I'm dunzo like the girl Kristin from Laguna Beach ...I'm drunk like I'm on The Real World .,overheard
"Sober guy: Yo, don't throw up in the elevator, man. You should go throw up on that girl's door that we hate.",overheard
,overheard
Little boy: Mom? Can I have this gum? I haven't had this in !,overheard
"Mom: ""Years""? You're only 5!",overheard
,overheard
"Guy #1: Hey, answer me seriously, what would you do if one day I killed our neighbor?",overheard
Guy #2: I would turn into a giant penis and spray semen all over the city.,overheard
,overheard
"Woman #1: Wow, everyone is wearing their iPod. I only wear mine to the gym.",overheard
"Woman #2: Well, if you have a commute, it is good to take it with you.",overheard
"Woman #1: Really, so it works underground?",overheard
"Woman #2: Yea, it even works when you are wearing green.",overheard
Woman #1: Fuck you.,overheard
,overheard
"Man #1: Yo, your girl is huge.",overheard
Man #2: I like big ladies; more to love.,overheard
"Man #1: But damn, she's all, ""Baby, give me more macaroni and cheese. Ooh yeah baby, put more cheese on top."" That's sick, man.",overheard
"Man #2: Yeah, but she knows how do to her thing, you know?",overheard
"Man #1: Fuck that. She can't even get through a sentence without running out of breath. Coughing and wheezing, sweat running down her face.",overheard
Man #2: What do you want me to do?,overheard
Man #1: Give her a fucking carrot or something! Shit.,overheard
,overheard
"Drunk guy: Well, here we are.",overheard
Drunk girl: This isn't my station.,overheard
Drunk guy: I was following you!,overheard
"Drunk girl: Well, there's a reason I asked you to walk me to the subway.",overheard
"Drunk guy: Wow, the blind leading the blind.",overheard
Drunk girl: More like the oblivious leading the retarded.,overheard
,overheard
Hobo: Where are you going?,overheard
Drunk guy: Bermuda. I'm connecting to the plane.,overheard
Drunk guy: Is that your cousin?,overheard
Hobo: Yeah!,overheard
Drunk guy: He didn't even say nothing to you. That's fucked up!,overheard
Hobo: My name is Peter. Peter Parker. I'm Spider-Man's father.,overheard
The hobo shows the drunk guy his bottle. The drunk guy takes out a can of beer and a bottle of whiskey,overheard
Drunk guy: So what? You trying to beat me? You started a competition and I beat you. I came prepared.,overheard
,overheard
Guy #1: Is she blind or something?,overheard
"Guy #2: No, she's Christian.",overheard
Guy #1: Oh...Same thing I guess.,overheard
,overheard
"Woman #1: So I told him, ""Nigga, you can't touch none of this!""",overheard
"Woman #2: Ha, ha. Girl, what you need is a horse dick!",overheard
,overheard
"Old man: I don't like to see musicals about awful historical events, like the French Revolution. Or the Holocaust.",overheard
Guy: Or spelling bees?,overheard
"Old man: No, that one was pretty good.",overheard
,overheard
"Teen boy #1: Yo, pussy!",overheard
Teen boy #2: You just called me a pussy?,overheard
Teen boy #1: You are what you eat!,overheard
,overheard
Girl: I was walking and there was a group of Dominicans talking on the corner and the only reason I understood what they were saying was because I've been listening to a lot of reggaeton.,overheard
Guy: They must've been talking about fucking someone.,overheard
,overheard
"Woman #1: It was so funny. I mean I was talking to the horse in English, and the horse didn't understand a fucking word I said.",overheard
Woman #2: It was a Spanish horse.,overheard
"Woman #1: Even their dogs, they didn't understand English. I don't get that.",overheard
,overheard
"Girl #1: Oh my god, I totally shoudn't be out tonight. I totally look like I just had an abortion.",overheard
Girl #2: You look fine and you had an abortion like a month ago.,overheard
,overheard
Guy #1: So are you go to Ian's birthday dinner later?,overheard
"Guy #2: Well, I've been trying to only eat one meal a day this past month, and I already ate one...so probably not.",overheard
,overheard
"Girl #1: There are like, so many orthodox Jews at the law school. Why would they come to a Jesuit school if they're orthodox Jews?",overheard
"Girl #2: Well, it's not like everyone else is Catholic.",overheard
"Girl #1: But Jews are like the opposite of Catholics, they're, like, not even close.",overheard
Girl #2: You're a slut; that's not very Catholic.,overheard
,overheard
Dad: Don't wipe your hands on me! What's wrong with you? Megan's father only got 25 years after she went missing! And it's not like I'm in a rush to get home to your mother!,overheard
Little boy: What?,overheard
"Dad: ...That was a messed-up thing to say, wasn't it?!",overheard
Dad: You see that? Isn't that beautiful?,overheard
Little boy: No. It's stupid.,overheard
"Dad: Huh? Come here, sit down. Don't ever say something like that, okay? You know what happens when you say that's stupid?",overheard
He slaps him lightly on the wrists.,overheard
"Dad: You don't want , do you? Go look at it again and tell me what you see...Well, what do you see?...Is it beautiful?",overheard
Little boy: Yeah.,overheard
Dad: Okay.,overheard
,overheard
Crazy guy: Slow down!,overheard
Bus driver: I'm stopped at a light; I can't get much slower.,overheard
,overheard
Chick #1: The ceremony is so long. They should just throw the diplomas off the stage into the audience.,overheard
"Chick #2: Yeah, and if you don't catch one, sorry, you don't graduate.",overheard
Chick #1: So then the football team will actually graduate.,overheard
"Chick #2: The receivers, anyway.",overheard
,overheard
Queer #1: What would happen if I suddenly went deaf?,overheard
Queer #2: You? It would take you a while to notice.,overheard
,overheard
"Tourist man: Honey, there's something stuck on your pants...Honey, it's toilet paper!",overheard
"Tourist woman: But, it can't be; I haven't gone to the bathroom in .",overheard
,overheard
"Teen girl #1: Damn, I'm so glad I went out with you and not your",overheard
brother.,overheard
"Teen girl #2: Aw baby, me too.",overheard
"Teen girl #1: I mean, you have like three times the personality and",overheard
ten times the looks.,overheard
"Teen girl #2: Oh yeah, I know!",overheard
,overheard
"Guy #1: Hey man, you got an extra cigarette?",overheard
Guy #2: This is my last one.,overheard
Guy #1: Then why can I see the pack sitting in your pocket? Fucking asshole! Fucking dirty selfish asshole.,overheard
,overheard
"Girl: Oh my god , I have to tell you something but you cannot, absolutely tell anybody else! You swear ?",overheard
"Queer: Oh my god, yes. I promise it's just between you, my psychic and my shrink!",overheard
,overheard
"Crazy guy: Do you see what I put up with? That's it, it's . We have not had sex in ten years . She says she don't need it...Then I have to sleep with nigger whores. That's right, Joan, I said it. I sleep with nigger whores , even some white whores. That's the only way I can get off now.",overheard
,overheard
Girl: You sleep with everyone. You're such a nice person!,overheard
"Woman: I mean, my mother wasn't inattentive. She made great meals. She would cook these huge meals and my friends would all tell me how incredible these meals were that she cooked. She cooked these great meals and then at night she'd blow every guy in town.",overheard
"Teen girl: Screw me once, shame on you. Screw me twice, shame on me. Screw me three times, I'm a whore.",overheard
"Chick: I put the ""ho"" in ""tough road to hoe""!",overheard
Girl on phone: Yeah...So like a male prostitute hitting on you is like...the Tribeca or something.,overheard
Girl on cell: Happy Hump Day! I hope it's as fantastic as doing a line off a hooker's back.,overheard
Guy: I didn't pay her for the sex; I paid her to leave afterwards.,overheard
Little boy: A pimp is a very lucky man!,overheard
Woman: What's the difference between you and a prostitute?,overheard
,overheard
"Suit on cell: Hey, yeah...Yeah, I just got back from 100 Centre Street. Yeah, Georgie Boy was drooling over counselor's dick...You know, Georgie Boy: Boy George...That's right, on his knees drooling over counselor's dick. Moron lives on Mulberry, right around the corner from 100 Centre Street. They found like six bags of blow, says lots of people stay there, not his, whatever. But he's shitting in his diaper...What?...Yeah, just six bags, whatever. But he's drooling over counselor's dick. I told him, ""Don't worry Georgie Boy""--we only call him ""Georgie Boy""--I told him, ""Don't worry, you have a Jewish lawyer."" Do you really want to blow me ?...Huh? What?...No!",overheard
,overheard
"Chick: So, basically, I need you to get in trouble and go to jail or something.",overheard
"Cop on cell: Honey, I am going to be late. I am stuck at a crime scene.",overheard
"Girl: So I had to go testify in that court thing, I just told them I saw him there, I don't like the guy, and I mean, I don't think perjury should be a crime. Like, who cares if you tell a little lie?",overheard
"Teen boy: You cheated, nigga; drank Red Bull. That shit gives you wings. You was like flyin'.",overheard
Suit: There is a very fine line between stalking and making things happen.,overheard
"Cop: Uh, now I've gotta go fight crime.",overheard
Chick: The churro guy is not the most honest person in the world.,overheard
Girl: Guys just lie and lie. They put their penis in and then they lie.,overheard
Cop on megaphone: If you make me come up that hill I'll be really mad !,overheard
Jury Duty guy: You people are the only thing standing between,overheard
civilization and utter chaos.,overheard
,overheard
Old lady: Where's the yellow incense for the dead people?,overheard
,overheard
Hobo: Can someone help me get something to eat? Can someone give me some money so I can get something to eat? I'll take anything. Anything...that you would willingly kill for.,overheard
"Tween girl: Hey Daddy, wouldn't it be funny if I choked on a piece of",overheard
foil and I fell out the window and I drowned and I died and a shark came and an octopus and a duck and I died?,overheard
"Dude on cell: was ?...No, it wasn't...Did you just kill a ?",overheard
"Hipster girl: She was in the fucking wrong, dead uncle or no dead uncle.",overheard
"Guy: You know what, B? There is nothing hotter than a 5 foot tall girl with a machine gun. It's so hot when you know that she is there right beside you, just ready to blast someone away. I fucking hate civilian life...How much longer to Brooklyn? I gotta buy a car , B.",overheard
"Guy on cell: No, Grandma. No, shut up ! Grandma, I'm going to fucking kill you !",overheard
"Dude: I'm telling you, if I go back and get like six of these crates every night, I'll be able to make a killer fort !",overheard
"Lady: Thank you for offering me your seat, it was very kind of you. For all you knew I could've had a gun on me.",overheard
"Man on cell: Holy shit, motherfucker...Holy shit...This all happened today? So you got evicted...And your shit is out on the street...And then Margalit left you? Okay... Your mom died ?",overheard
,overheard
"Man: Yo, the other day I see the F arriving as I'm coming down the stairs so I run in, just making it in on time. I hold the door for this girl behind me but I slipped and her head got caught in the",overheard
closing door. She turned her head like The Exorcist and just looked at me for a second and then starting screaming. And then other people started screaming while I tried to open the doors again. The conductor finally opened up the doors and she stepped in...and stood right next to me...and stared at me until Roosevelt Island. I just got out there and waited for the next train.,overheard
,overheard
Guy on cell: You need to go to a doctor! And you need to bring your wife! Because there are two assholes between the two of you!,overheard
"Woman on cell: April Fool's motherfucker, I ain't knocked up, April Fool's, but I still gotta get that blood test.",overheard
"Guy: I can't believe you don't smoke the end. It's where all the cancer is. Without cancer, what's the point?",overheard
Girl: I've felt so weird today. You know when you're fifteen and really hungry? That's how I feel.,overheard
"Old man: Well, I mean, it's just your scrotum being stapled; it's not like it's actually going to go through your testicle.",overheard
Girl on cell: I was freaking out on the floor...drooling...and hissing...,overheard
Suit on cell: They were able to delay the surgery two days by shoving the intestines back through the hole...That's good news!,overheard
Italian lady: ...and I didn't know if it was my stomach or my appendicitis.,overheard
"White guy on cell: What happened to him?... ?...He got arrested?...At the same ?...Damn, where that nigga at?",overheard
"Suit on cell: Yeah, I was about to smoke this joint, but I've got a piss test in 26 minutes.",overheard
Guy: Do you think it would hurt to jump out the window?,overheard
Doorman: I'm gonna come back and give everybody a cold!,overheard
"Guy: Nigga hit me with a Buick... on purpose ! When I had a mini-frigerator in my hands, so you can imagine...",overheard
Guy: Don't you ever wonder why the organs in your lungs don't come out when you breathe?,overheard
"Guy: ...And I dropped a 25 pound weight on my baby toe! My baby toe! It was mad red and shit, it hurt. But I couldn't act like it hurt when I was at the gym--you know.",overheard
"Man: Oh yeah, he's a really nice guy. He's on dialysis.",overheard
Guy: He told me sometimes he falls over when he goes to itch himself.,overheard
Guy on cell: I'm not that worried. I mean like Magic Johnson has had it for like 15 years and he's fine.,overheard
Woman on cell: Don't you know how to do CPR? Cardio...pul-something.,overheard
You know the thing to keep people from breathing?,overheard
Guy: The dentist is afraid I'm going to season his chair. Not really,overheard
season... It's not like I'm going to sprinkle parsley on it.,overheard
"Dude: Wait, so his brain surgery scar is on his ?",overheard
,overheard
"Yale guy on cell: Oh, you'll like this. So, I hooked up with this girl this weekend, and got a handjob from her...But, the thing is, she had one hand...No, she had an arm, just no hand. And she gave me a handjob. With the other one...I started laughing when she started giving me a handjob, because, well...Yeah. The irony of the whole thing...Yeah, but she was real hot...Huge boobs...I think I'm gonna try and hook up with her again and see if she'll rub my balls...Yeah, man, with the other one...The other...Yeah.",overheard
,overheard
"Suit: No. If you were 40 and you had only slept with five people, I wouldn't marry you...Unless it was, like, five 5 year relationships.",overheard
Girl: You fucked Cookie Monster ?,overheard
Chick: This is the last time I marry an ambassador!,overheard
Random Girl to her friend: This place is like online dating for losers.,overheard
Queer: I got so much shit for hooking up with Bud Lite.,overheard
Teen boy: I think that guy I made out with the other night is a pedophile.,overheard
"Guy on cell: Baby, you know I'm passin' up thousands of bitches to be wit' you...and you know that's the truth!",overheard
"Dude: This place will be filled with single girls, but they're all socially retarded.",overheard
"Suit on cell: I know you had sex with Mickey Mouse, but leave the dog alone!",overheard
White guy:: I wanna call her hunchback and fuck her all at the same time.,overheard
"Old lady: It's not the egg rolls, Harry, it's the ten years.",overheard
Chick: So do you like this husband better than the last one?,overheard
"Chick: Wow, I've never been out with a real war criminal before.",overheard
,overheard
Matt Dillon: This theatre has awful feng shui.,overheard
,overheard
"Girl: This is just like , only without all the AIDS!",overheard
"Vendor guy: That's a good book, Postcards From the Edge . Yeah, Carrie Fisher is a beautiful writer, but I was in rehab with her for a couple days: total bitch!",overheard
Tourist guy: I hope they have tickets for Miss Saigon or King and I .,overheard
"Guy: Luke Skywalker was the good guy, and Darth Vader was the bad guy. But Harrison Ford's character, he was just in it for the ride. He was an adventurer. So he's the only one with complex motivations.",overheard
"Military guy: Have you heard of that movie about the insane military academy? Well, it's . .",overheard
Girl: Cool Hand Luke was totally Christian Slater's favorite movie in .,overheard
Man: But what if it has Brad's cheekbones and Angelina's lips?,overheard
Asian guy: Hey wasn't your mom in The Da Vinci Code ?,overheard
Teen boy: I threw up on Meryl Streep's daughter.,overheard
Asian guy: It's an ancient tradition: every Chinese New Year Bruce Lee fights Chuck Norris for good luck.,overheard
,overheard
"Vendor guy: I got so much dirt under my nails, you'd think I was a crackhead.",overheard
,overheard
"Guy: Money is so dirty, and yet I don't feel dirty when I touch it; I feel happy!",overheard
"Guy: Yeah, they already gave us the pep talk about not trashing the hotel rooms.",overheard
"Girl: It kinda tasted like dirty sock water...But you know, I liked it.",overheard
Tourist girl: So did I mention that I'm taking came-on-my-chest boy to the winter formal next week?,overheard
Girl: You've been with nothin' but dirty bitches !,overheard
"Thug guy: You know what I really liked about her, yo? She was clean, dog. Mad clean.",overheard
"Dad: Girls, don't lick the pole. It's gross.",overheard
"Girl: We were naked. And then we started showering, and I didn't know what was going on.",overheard
Suit: I need a shower like my mother needs an enema.,overheard
"Driver guy on cell: Whaddo I have, fuckin' dingleberries on my tongue?",overheard
,overheard
Crazy guy: It's the anniversary of the blue angora sweater!,overheard
,overheard
"Guy: Yeah, those SS uniforms were swank, really well-cut. Powerful, not like the fruity shit that the rest of the Nazis wore.",overheard
"Guy: Eh, he's a designer for Reebok. I would've fucked him if he was a designer for Adidas.",overheard
"Guy: Dude, I'm wearing pink. You're wearing purple. They're going to think we're chuggers.",overheard
"Guy: I just went, ""Oh no! Where'd the rest of my pants go?"" Because I I was wearing shorts!",overheard
"Dad: Hey. Hey! Check it out. FCUK...It spells ""fuck"" backwards!",overheard
"Hipster guy: So, this interview's gonna be all about Timmy's new sparkly belt?",overheard
"Guy: Well, I'm kind of an itinerant tuxedo salesman.",overheard
"Woman: I just got these new boots They're amazing. They're brown and leather and they've got a heel, and that's okay because I feel like I could walk across Middle Earth in them.",overheard
,overheard
Crazy guy: Pawns and shields. Pawns and shields and a meal ticket. That's all kids are good for.,overheard
,overheard
Crazy guy: You got to take shit to the extreme if you want to be into radicalism. Radicals will fuck anything and any duck. Radicalism and gangsterism is two different things. 'Cause you from the hood does not make you a gangster. I know some soft punks grew up in the hood. They afraid to deal with issues in their personal lives.,overheard
"Crazy codger: These are the pills they give me at the doctor's. Oh, my goodness. Oh, my goodness! They turn my blood to stone. I have need other blood to make up for it... Kangaroo blood ! And elephant blood. Kangaroo blood and elephant blood. Oh, I'm telling you. How long do I have to wait to open an account?",overheard
"Crazy guy: I'm not your brother, and your skin's an ugly color!",overheard
"Crazy guy: I'm asking you to be a gentleman, not Prince Charles!",overheard
"Crazy guy: The whole world's on fire, man! I seen Johnnie Cochran and Quincy Jones riding the Cyclone at Coney Island, man. Fire!",overheard
"Crazy guy: Don't fuck with the Mayflower, people! When will you learn?",overheard
,overheard
"Guy: ...and they'd been trying to get pregnant for a while. Like two years. And I just, I thought she had so much anxiety and that wasn't the right atmosphere to conceive. And so, I wrote them a song called ""There's a Baby on the Way"" and a few months later the whole family was together and they announced they were pregnant. And I told them that I'd written a song ""There's a Baby on the Way"" and that I'd written it June 10th. And she's like, "" 's the day we found out."" And my friends in LA, they'd been trying and I played them the song and sure enough...",overheard
,overheard
"Chick: All he does is spend time with his wife and baby. I mean, who would want to live like that?",overheard
"UES woman: So you're pregnant and you don't know if it's the father, son or son-in-law. Such a bad situation she's in.",overheard
Guy on cell: I gotta buy my baby a crib...I mean a crib!,overheard
"Man: Yeah, I love babies because they drink less and get wasted faster.",overheard
"Girl on cell: Aw, Boo-Boo, did I wake you up from your nappy? Well call me later so we can go out, it's still early.",overheard
"Black woman: I told her she had to stop using a babysitter when he started whistling when he was 6 months old. He was whistling! You know, like when you're blowing on a bottle? I was like, he's possessed or some shit! You can't leave him with other people.",overheard
,overheard
"Hipster guy: Two black guys fucking two white bitches on Martin Luther King day. That shit's trippy. I bet that was what that whole "" I have a dream "" shit was really about. The right to fuck white bitches.",overheard
,overheard
"Scalper guy: Man, she gon' dump yo' white ass because you never take her anywhere; all you do is play that goddamn violin!",overheard
"Guy on cell: No, I have the abs already, I just need to get a tan first. I don't want to scare people.",overheard
"Chick: Yeah, but he wasn't really white, he was Russian.",overheard
"Bike guy: Hey, vanilla and chocolate...Mmm, makes caramel!",overheard
"Dude: Yeah, he was holding onto that so tight his knuckles were turning white...And he's black, so I mean, that's be a tight grip for his knuckles to turn white...",overheard
"Guyy: The name's Graham, like the cracker.",overheard
"Bag lady: I am a 15 year old girl who collects cans. , go to Lord & Taylor, get a job, go to school and make something of yourself. Quit following me !",overheard
,overheard
"Teen girl: ...You they didn't have guns back then...But if they did, Jesus would have shot them niggas.",overheard
,overheard
Cabbie on cell: America is too nice for Muslim people. That is why they will suffer.,overheard
"Guy: Oh, what a pity. Now you won't get to hear the Bible taught to you by some atheist...left-wing...nutjob.",overheard
Woman on cell: My brother tells me that you love the baby Jesus. I love the baby Jesus.,overheard
Lady: He's Catholic. They can't lie. Lying's a sin.,overheard
"Guy: Yeah, and you know what Allah spelled backwards is: !",overheard
"Guy: Congratulations on your...what do you call it? ""Baptism""?",overheard
"Hobo: Can you help me out? Can you help me out? See God, they turn their back on me. Fuck them!",overheard
Drunk guy: Muslims are worse than downloading shit from the fuckin' internet.,overheard
"Girl on cell: He carries around a fucking Bible in his bag! And when he isn't, you know, reading his Bible, he's talking about how he likes to stick his tongue in girls' assholes!",overheard
,overheard
"Girl: So wait, it's garlic that you use?",overheard
"Guy: Yes, who heard of scaring them with bologna?",overheard
"Girl: Wasn't it in that movie?...Oh wait, that was robots.",overheard
,overheard
Girl: The other day I saw a homeless guy masturbating in Union Square Park.,overheard
"Guy: Well, where else was he going to do it?",overheard
,overheard
Girl #1: Did you see those other glasses I tried on?,overheard
Girl #2: Yeah.,overheard
Girl #1: I looked like Amelia Earhart.,overheard
,overheard
"Guy #1: Dude, all this Groundhog Day shit is bullshit. It is impossible for something to not have a shadow. All things that move have shadows. If it don't move, then it don't have a shadow. Groundhog Day is bullshit.",overheard
"Guy #2: Dude, you're a dumbass. Only living things have shadows.",overheard
,overheard
Teen girl: So they're like the von Trapps.,overheard
"Chick: If the von Trapps wore Homestar t-shirts and were Tunisian, then sure.",overheard
Teen girl: And hot.,overheard
"Chick: Yeah, the von Trapps did nothing for me in The Sound of",overheard
Music . My mom's dog died the day that movie came out. I guess maybe subconsciously that has something to do with their not-hotness.,overheard
Teen girl: What about the Nazi thing?,overheard
"Chick: The von Trapps weren't Nazis, were they?",overheard
,overheard
"Girl #1: So, I think I'm gonna name my kid Senator. Isn't that great? I'm going to name him Senator, but he won't have to ever aspire to anything. Imagine in, like, third grade: Senator Nelson!",overheard
"Girl #2: Ha, ha! I think I want to name my kid Does.",overheard
Girl #1: Would you spell it D-o-e-s?,overheard
"Girl #2: Yeah, totally. Isn't that a great name?",overheard
Girl #1: I'm going to have either a kid or a monkey named Chimapate.,overheard
,overheard
Little boy #1: Can I have that dinosaur?,overheard
"Little boy #2: Only if you guess what number I have in my head, under 10, okay? Under 10!",overheard
Little boy #1: Eleven?,overheard
"Little boy #2: No, under 10!",overheard
Little boy #1: A hundred?,overheard
,overheard
Mom: It's not the holidays now.,overheard
Little girl: Why?,overheard
"Mom: Holidays are only some of the time. The rest of the year, it's",overheard
just regular days.,overheard
Little girl: Why?,overheard
Mom: 'Cause that's how God made it.,overheard
,overheard
Queer: What's missionary?,overheard
Chick: Like regular.,overheard
,overheard
"Drunk chick: We are in the business together, so you give me your project and I'll give you a fuck.",overheard
Guy: A fuck?,overheard
"Drunk chick: Yeah, 'cause I love my job that much...I'm like, 130%...no, wait...140% into my work.",overheard
Guy: Really?,overheard
"Drunk chick: Dude, I'm all about the art.",overheard
,overheard
Crazy lady: Yo! Uh...man!,overheard
Hot dog guy: Yes?,overheard
Crazy lady: Why aren't you serving me?,overheard
"Hot dog guy: I just placed your order, ma'am.",overheard
"Crazy lady: Well I used to work in immigration, so you best be doing that shit quick like right? Shit, I was immigration, okay? I know people, all right?",overheard
Hot dog guy: Like who?,overheard
Queer: Kenneth Cole?,overheard
Crazy lady: ! I know Diedre. Now don't be playing these crazy mindgames with me! I'm prepared. I have a gun.,overheard
"Hot dog guy: That's very nice. That'll be 5.98 total, ma'am.",overheard
Crazy lady: Fuck you. I'm gone now. You can't see me!,overheard
"Queer: Faggot, just go away.",overheard
,overheard
Girl #1: Look at the clerk...You know what they say about Chinese,overheard
clerks...,overheard
"Girl #2: Shh, Jord, let's not be racist in public.",overheard
,overheard
Girl #1: I really wasn't into him; he was too young.,overheard
Girl #2: What are you talking about? You're a rapist.,overheard
,overheard
